Gender;Age;Region;Attention to Desing;Role to Desing;Important aspects;Positive emotions;User Decisions;Aspect ;Positive color;Negative color;Color of education site;Reaction
Женский;14-17;Северо-Западный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Серый;Желтый;Красный;Нейтрально
Мужской;18-21;Центральный;Постоянно;Умеренную;Визуальные элементы;Яркий и креативный;Почти всегда;Более интуитивная навигация;Зеленый;Желтый;Красный;Нейтрально
Женский;18-21;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Серый;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Постоянно;Важную;Визуальные элементы;Минималистичный и сдержанный;Иногда;;Серый;Зеленый;Серый;Положительно
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;;Красный;Серый;Зеленый;Нейтрально
Женский;18-21;Уральский;Постоянно;Важную;Удобство навигации;Яркий и креативный;Иногда;Улучшенная читаемость текста;Голубой;Красный;Зеленый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Интерактивность элементов;Яркий и креативный;Иногда;Больше визуальных элементов;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;22-26;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Иногда;Быстрая загрузка страниц;Голубой;Зеленый;Красный;Нейтрально
Мужской;22-26;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Зеленый;Красный;Серый;Нейтрально
Мужской;18-21;Северо-Кавказский;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Красный;Зеленый;Нейтрально
Женский;18-21;Сибирский;Постоянно;Крайне важную;Визуальные элементы;Яркий и креативный;Почти всегда;Больше визуальных элементов;Красный;Зеленый;Зеленый;Отрицательно
Женский;22-26;Центральный;Постоянно;Важную;Качество изображения;Яркий и креативный;Иногда;Более интуитивная навигация;Зеленый;Красный;Красный;Отрицательно
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Желтый;Голубой;Зеленый;Нейтрально
Мужской;18-21;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Желтый;Зеленый;Желтый;Положительно
Мужской;14-17;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Никогда;Быстрая загрузка страниц;Голубой;Желтый;Желтый;Отрицательно
Мужской;27-30;Центральный;Редко;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Желтый;Красный;Желтый;Положительно
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Голубой;Зеленый;Красный;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Голубой;Красный;Зеленый;Нейтрально
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Редко;Более интуитивная навигация;Серый;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Зеленый;Желтый;Нейтрально
Женский;22-26;Не из России;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Красный;Зеленый;Желтый;Нейтрально
Мужской;18-21;Центральный;Иногда;Умеренную;Удобство навигации;Минималистичный и сдержанный;Иногда;Улучшенная читаемость текста;Зеленый;Зеленый;Зеленый;Положительно
Женский;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Зеленый;Зеленый;Положительно
Мужской;18-21;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Красный;Голубой;Зеленый;Нейтрально
Женский;22-26;Приволжский;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Голубой;Красный;Зеленый;Нейтрально
Женский;36 и старше;Не из России;Иногда;Крайне важную;Интерактивность элементов;Яркий и креативный;Почти всегда;Больше визуальных элементов;Зеленый;Зеленый;Красный;Нейтрально
Женский;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Больше визуальных элементов;Серый;Зеленый;Красный;Нейтрально
Мужской;22-26;Приволжский;Постоянно;Крайне важную;Соотношение пропорций;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Желтый;Зеленый;Зеленый;Отрицательно
Мужской;27-30;Центральный;Иногда;Важную;Удобство навигации;Яркий и креативный;Редко;Более интуитивная навигация;Серый;Красный;Желтый;Нейтрально
Мужской;18-21;Уральский;Постоянно;Крайне важную;Интерактивность элементов;Яркий и креативный;Иногда;Более интуитивная навигация;Голубой;Зеленый;Желтый;Нейтрально
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;31-35;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Зеленый;Зеленый;Зеленый;Положительно
Мужской;18-21;Дальневосточный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Желтый;Зеленый;Нейтрально
Мужской;18-21;Сибирский;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Иногда;Быстрая загрузка страниц;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Постоянно;Крайне важную;Интерактивность элементов;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Серый;Зеленый;Красный;Нейтрально
Женский;31-35;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Иногда;Улучшенная читаемость текста;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Приволжский;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Редко;Более интуитивная навигация;Зеленый;Зеленый;Зеленый;Положительно
Женский;22-26;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Никогда;Быстрая загрузка страниц;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Иногда;Неважную;Соотношение пропорций;Минималистичный и сдержанный;Никогда;Быстрая загрузка страниц;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Голубой;Красный;Серый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Зеленый;Зеленый;Положительно
Мужской;18-21;Центральный;Постоянно;Крайне важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Серый;Желтый;Серый;Положительно
Женский;18-21;Уральский;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Красный;Серый;Красный;Положительно
Женский;18-21;Центральный;Постоянно;Важную;Интерактивность элементов;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Желтый;Зеленый;Нейтрально
Мужской;18-21;Южный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Иногда;Улучшенная читаемость текста;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Приволжский;Постоянно;Умеренную;Удобство навигации;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Голубой;Серый;Зеленый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Умеренную;Визуальные элементы;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Серый;Зеленый;Желтый;Нейтрально
Мужской;22-26;Центральный;Постоянно;Важную;Визуальные элементы;Яркий и креативный;Редко;Быстрая загрузка страниц;Красный;Серый;Зеленый;Нейтрально
Женский;18-21;Приволжский;Иногда;Умеренную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Серый;Красный;Зеленый;Нейтрально
Женский;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Желтый;Зеленый;Серый;Нейтрально
Мужской;18-21;Северо-Западный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Редко;Быстрая загрузка страниц;Голубой;Зеленый;Красный;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Редко;Более интуитивная навигация;Зеленый;Желтый;Зеленый;Положительно
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Серый;Красный;Нейтрально
Мужской;22-26;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Зеленый;Зеленый;Красный;Нейтрально
Женский;27-30;Не из России;Постоянно;Крайне важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Голубой;Зеленый;Желтый;Положительно
Мужской;22-26;Центральный;Иногда;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Красный;Красный;Отрицательно
Мужской;18-21;Приволжский;Постоянно;Умеренную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Зеленый;Голубой;Желтый;Нейтрально
Женский;18-21;Центральный;Иногда;Важную;Визуальные элементы;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Зеленый;Зеленый;Положительно
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Почти всегда;Улучшенная читаемость текста;Голубой;Зеленый;Красный;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Серый;Голубой;Зеленый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Улучшенная читаемость текста;Желтый;Красный;Красный;Отрицательно
Мужской;22-26;Дальневосточный;Постоянно;Крайне важную;Цветовая гамма и оформление;Яркий и креативный;Иногда;Более интуитивная навигация;Зеленый;Зеленый;Зеленый;Положительно
Женский;18-21;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Красный;Зеленый;Серый;Нейтрально
Женский;18-21;Северо-Кавказский;Иногда;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Постоянно;Умеренную;Удобство навигации;Яркий и креативный;Никогда;Более интуитивная навигация;Голубой;Зеленый;Серый;Нейтрально
Женский;31-35;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Зеленый;Серый;Нейтрально
Женский;18-21;Уральский;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Зеленый;Красный;Зеленый;Положительно
Женский;27-30;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Желтый;Зеленый;Красный;Нейтрально
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Улучшенная читаемость текста;Голубой;Зеленый;Зеленый;Отрицательно
Женский;22-26;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Редко;Быстрая загрузка страниц;Красный;Голубой;Зеленый;Нейтрально
Женский;22-26;Центральный;Постоянно;Неважную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Серый;Зеленый;Нейтрально
Женский;18-21;Центральный;Постоянно;Умеренную;Удобство навигации;Яркий и креативный;Почти всегда;Быстрая загрузка страниц;Серый;Красный;Желтый;Нейтрально
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Зеленый;Красный;Зеленый;Положительно
Женский;18-21;Центральный;Иногда;Важную;Интерактивность элементов;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Серый;Красный;Зеленый;Нейтрально
Женский;18-21;Центральный;Постоянно;Умеренную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Голубой;Зеленый;Красный;Нейтрально
Мужской;22-26;Центральный;Иногда;Важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Красный;Серый;Красный;Положительно
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Красный;Серый;Желтый;Нейтрально
Женский;31-35;Не из России;Редко;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Больше визуальных элементов;Желтый;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Уральский;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Желтый;Зеленый;Красный;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Зеленый;Зеленый;Положительно
Мужской;18-21;Дальневосточный;Постоянно;Крайне важную;Визуальные элементы;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Желтый;Красный;Красный;Отрицательно
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Голубой;Зеленый;Зеленый;Отрицательно
Женский;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Красный;Зеленый;Красный;Положительно
Женский;22-26;Приволжский;Иногда;Важную;Удобство навигации;Яркий и креативный;Иногда;Быстрая загрузка страниц;Желтый;Красный;Красный;Отрицательно
Мужской;18-21;Не из России;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Почти всегда;Улучшенная читаемость текста;Голубой;Зеленый;Красный;Нейтрально
Женский;18-21;Сибирский;Постоянно;Неважную;Удобство навигации;Яркий и креативный;Редко;Быстрая загрузка страниц;Зеленый;Серый;Красный;Нейтрально
Женский;18-21;Центральный;Постоянно;Крайне важную;Интерактивность элементов;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Голубой;Красный;Зеленый;Нейтрально
Женский;27-30;Не из России;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Зеленый;Красный;Красный;Отрицательно
Женский;18-21;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Редко;Быстрая загрузка страниц;Голубой;Красный;Голубой;Положительно
Женский;22-26;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Редко;Быстрая загрузка страниц;Голубой;Серый;Серый;Отрицательно
Женский;18-21;Центральный;Иногда;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Улучшенная читаемость текста;Серый;Зеленый;Серый;Положительно
Женский;18-21;Уральский;Иногда;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Зеленый;Красный;Красный;Зеленый;Нейтрально
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Почти всегда;Быстрая загрузка страниц;Серый;Красный;Зеленый;Нейтрально
Мужской;18-21;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Редко;Более интуитивная навигация;Зеленый;Зеленый;Серый;Нейтрально
Мужской;22-26;Центральный;Постоянно;Умеренную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Серый;Зеленый;Зеленый;Отрицательно
Женский;18-21;Центральный;Иногда;Важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Серый;Зеленый;Зеленый;Отрицательно
Женский;31-35;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Серый;Серый;Желтый;Нейтрально
Мужской;22-26;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Красный;Зеленый;Голубой;Нейтрально
Мужской;18-21;Центральный;Иногда;Важную;Удобство навигации;Яркий и креативный;Иногда;Быстрая загрузка страниц;Зеленый;Зеленый;Зеленый;Положительно
Женский;18-21;Центральный;Постоянно;Крайне важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Редко;Больше визуальных элементов;Зеленый;Зеленый;Зеленый;Положительно
Мужской;18-21;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Зеленый;Зеленый;Положительно
Мужской;18-21;Центральный;Постоянно;Важную;Соотношение пропорций;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Серый;Красный;Зеленый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Важную;Соотношение пропорций;Яркий и креативный;Иногда;Более интуитивная навигация;Голубой;Желтый;Серый;Нейтрально
Мужской;18-21;Центральный;Иногда;Крайне важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Голубой;Зеленый;Красный;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Интерактивность элементов;Яркий и креативный;Иногда;Быстрая загрузка страниц;Голубой;Зеленый;Желтый;Нейтрально
Мужской;36 и старше;Уральский;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Желтый;Красный;Красный;Отрицательно
Мужской;18-21;Центральный;Постоянно;Крайне важную;Визуальные элементы;Яркий и креативный;Иногда;Быстрая загрузка страниц;Красный;Зеленый;Красный;Положительно
Мужской;27-30;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Серый;Красный;Зеленый;Нейтрально
Мужской;22-26;Приволжский;Постоянно;Крайне важную;Визуальные элементы;Яркий и креативный;Почти всегда;Более интуитивная навигация;Серый;Зеленый;Зеленый;Отрицательно
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Улучшенная читаемость текста;Серый;Зеленый;Зеленый;Отрицательно
Мужской;22-26;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Редко;Более интуитивная навигация;Голубой;Красный;Зеленый;Нейтрально
Женский;22-26;Центральный;Иногда;Важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Желтый;Красный;Зеленый;Нейтрально
